22,44,31,12,12,48,731,300,1,4,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
15,18,31,20,216,12,853,300,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
24,22,31,8,48,12,40,229,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0
12,47,31,25,180,24,35,304,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
16,28,31,25,12,12,24,250,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,1,0,0,1,0
24,26,31,28,180,0,999,800,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
55,22,31,12,0,48,999,410,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,1,0
6,21,23,28,24,12,40,248,1,1,0,0,0,0,2,0,0,0,0,800,0,1,0,1,1,0,0,1,0
3,27,31,20,0,0,950,1000,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,1,1
23,57,31,12,24,96,13,856,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
25,53,31,18,60,24,13,738,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1
12,32,31,12,24,0,165,700,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
7,21,1,3,180,24,514,347,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0
24,36,31,12,120,36,15,1987,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
7,26,27,1,240,12,26,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
19,49,50,20,120,0,703,225,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
96,18,31,20,216,96,60,145,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
55,44,31,8,72,12,135,370,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
55,46,50,12,360,120,704,520,1,3,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
24,20,31,28,24,12,999,500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1
